PROVINCIE;GEMEENTENUMMER;GEMEENTENAAM;SOORT INSTELLING;TYPE HOGER ONDERWIJS;INSTELLINGSCODE ACTUEEL;INSTELLINGSNAAM ACTUEEL;ONDERDEEL;SUBONDERDEEL;OPLEIDINGSCODE ACTUEEL;OPLEIDINGSNAAM ACTUEEL;OPLEIDINGSVORM;GESLACHT;2020;2021;2022;2023;2024
Gelderland;0268;Nijmegen;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;taal en cultuur;n.v.t. (taal en cultuur);56034;B Geschiedenis;voltijd onderwijs;vrouw;124;153;179;185;184
Gelderland;0268;Nijmegen;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;taal en cultuur;n.v.t. (taal en cultuur);56074;B Romaanse Talen en Culturen;voltijd onderwijs;man;22;21;25;28;18
Gelderland;0268;Nijmegen;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;taal en cultuur;n.v.t. (taal en cultuur);56074;B Romaanse Talen en Culturen;voltijd onderwijs;vrouw;67;58;51;49;41
Gelderland;0268;Nijmegen;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;taal en cultuur;n.v.t. (taal en cultuur);56081;B Filosofie;voltijd onderwijs;man;194;210;214;228;210
Gelderland;0268;Nijmegen;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;taal en cultuur;n.v.t. (taal en cultuur);56081;B Filosofie;voltijd onderwijs;vrouw;179;242;239;245;219
Gelderland;0268;Nijmegen;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;taal en cultuur;n.v.t. (taal en cultuur);56109;B Theologie;deeltijd onderwijs;man;<5;7;<5;<5;7
Gelderland;0268;Nijmegen;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;taal en cultuur;n.v.t. (taal en cultuur);56109;B Theologie;deeltijd onderwijs;vrouw;12;16;<5;7;5
Gelderland;0268;Nijmegen;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;taal en cultuur;n.v.t. (taal en cultuur);56109;B Theologie;voltijd onderwijs;man;7;11;20;22;20
Gelderland;0268;Nijmegen;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;taal en cultuur;n.v.t. (taal en cultuur);56109;B Theologie;voltijd onderwijs;vrouw;18;17;28;16;18
Gelderland;0268;Nijmegen;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;taal en cultuur;n.v.t. (taal en cultuur);56803;B Taalwetenschap;voltijd onderwijs;man;24;23;20;17;18
