,vestigingscode,instellingscode,instellingsnaam,vestigingsgemeente,jaar,opleidingsvorm,soort_ho,type_ho,herkomst,status,ingeschrevenen_HO,instroom_RR,instroom_HO,tweedejaars_HO,hogerejaars_HO,instroom_THO_NW,tweedejaars_THO_NW,hogerejaars_THO_NW,provincie
7115,00DV03,00DV,Protestantse Theologische Universiteit,Amsterdam,2029,voltijd,wo,ba,NL,prognose,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Noord-Holland
7116,00DV03,00DV,Protestantse Theologische Universiteit,Amsterdam,2030,voltijd,wo,ba,NL,prognose,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Noord-Holland
7117,00DV03,00DV,Protestantse Theologische Universiteit,Amsterdam,2031,voltijd,wo,ba,NL,prognose,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Noord-Holland
7118,00DV03,00DV,Protestantse Theologische Universiteit,Amsterdam,2032,voltijd,wo,ba,NL,prognose,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Noord-Holland
7119,00DV03,00DV,Protestantse Theologische Universiteit,Amsterdam,2033,voltijd,wo,ba,NL,prognose,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Noord-Holland
7120,00DV03,00DV,Protestantse Theologische Universiteit,Amsterdam,2034,voltijd,wo,ba,NL,prognose,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Noord-Holland
7121,00DV03,00DV,Protestantse Theologische Universiteit,Amsterdam,2035,voltijd,wo,ba,NL,prognose,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Noord-Holland
7122,00DV03,00DV,Protestantse Theologische Universiteit,Amsterdam,2036,voltijd,wo,ba,NL,prognose,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Noord-Holland
7123,00DV03,00DV,Protestantse Theologische Universiteit,Amsterdam,2037,voltijd,wo,ba,NL,prognose,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Noord-Holland
7124,00DV03,00DV,Protestantse Theologische Universiteit,Amsterdam,2038,voltijd,wo,ba,NL,prognose,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Noord-Holland
7125,00DV03,00DV,Protestantse Theologische Universiteit,Amsterdam,2025,voltijd,wo,ma,NL,prognose,56.749,20.809,0.266782051282051,1.3975641025641,55.0846538461538,13.8726666666667,12.1295870350307,30.7467462983026,Noord-Holland
7126,00DV03,00DV,Protestantse Theologische Universiteit,Amsterdam,2026,voltijd,wo,ma,NL,prognose,56.074,20.1,0.257692307692308,1.34672747252747,54.4695802197802,13.4,11.6878813651138,30.9861186348862,Noord-Holland
7127,00DV03,00DV,Protestantse Theologische Universiteit,Amsterdam,2027,voltijd,wo,ma,NL,prognose,54.901,19.818,0.254076923076923,1.30461098901099,53.3423120879121,13.212,11.2521652221018,30.4368347778982,Noord-Holland
7128,00DV03,00DV,Protestantse Theologische Universiteit,Amsterdam,2028,voltijd,wo,ma,NL,prognose,53.805,19.67,0.252179487179487,1.28075897435897,52.2720615384615,13.1133333333333,10.9998550018057,29.691811664861,Noord-Holland
7129,00DV03,00DV,Protestantse Theologische Universiteit,Amsterdam,2029,voltijd,wo,ma,NL,prognose,53.04,19.525,0.250320512820513,1.26898388278388,51.5206956043956,13.0166666666667,10.8891379559408,29.1341953773926,Noord-Holland
