,vestigingscode,instellingscode,instellingsnaam,vestigingsgemeente,jaar,opleidingsvorm,soort_ho,type_ho,herkomst,status,ingeschrevenen_HO,instroom_RR,instroom_HO,tweedejaars_HO,hogerejaars_HO,instroom_THO_NW,tweedejaars_THO_NW,hogerejaars_THO_NW,provincie
48,00DV04,00DV,Protestantse Theologische Universiteit,Groningen,2020,voltijd,wo,ma,EER,realisatie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Groningen
49,00DV04,00DV,Protestantse Theologische Universiteit,Groningen,2022,voltijd,wo,ma,EER,realisatie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Groningen
50,00DV04,00DV,Protestantse Theologische Universiteit,Groningen,2023,voltijd,wo,ma,EER,realisatie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Groningen
51,00DV04,00DV,Protestantse Theologische Universiteit,Groningen,2017,voltijd,wo,ma,NL,realisatie,41.0,10.0,0.0,0.0,40.0,10.0,8.0,23.0,Groningen
52,00DV04,00DV,Protestantse Theologische Universiteit,Groningen,2018,voltijd,wo,ma,NL,realisatie,40.0,7.0,0.0,0.0,39.0,0.0,10.0,25.0,Groningen
53,00DV04,00DV,Protestantse Theologische Universiteit,Groningen,2019,voltijd,wo,ma,NL,realisatie,45.0,9.0,0.0,0.0,45.0,8.0,0.0,32.0,Groningen
54,00DV04,00DV,Protestantse Theologische Universiteit,Groningen,2020,voltijd,wo,ma,NL,realisatie,40.0,9.0,0.0,0.0,38.0,9.0,7.0,24.0,Groningen
55,00DV04,00DV,Protestantse Theologische Universiteit,Groningen,2021,voltijd,wo,ma,NL,realisatie,43.0,0.0,0.0,0.0,41.0,0.0,9.0,31.0,Groningen
56,00DV04,00DV,Protestantse Theologische Universiteit,Groningen,2022,voltijd,wo,ma,NL,realisatie,31.0,0.0,0.0,0.0,31.0,0.0,0.0,25.0,Groningen
57,00DV04,00DV,Protestantse Theologische Universiteit,Groningen,2023,voltijd,wo,ma,NL,realisatie,24.0,7.0,0.0,0.0,24.0,0.0,0.0,15.0,Groningen
58,00DV04,00DV,Protestantse Theologische Universiteit,Groningen,2024,voltijd,wo,ma,NL,realisatie,12.0,0.0,0.0,0.0,12.0,0.0,0.0,12.0,Groningen
59,00DV04,00DV,Protestantse Theologische Universiteit,Groningen,2017,voltijd,wo,ma,niet-EER,realisatie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Groningen
60,00DV04,00DV,Protestantse Theologische Universiteit,Groningen,2018,voltijd,wo,ma,niet-EER,realisatie,10.0,9.0,9.0,0.0,0.0,9.0,0.0,0.0,Groningen
